Constrained minimization technique for topic identification using discriminative training and support vector machines .	latent semantic indexing matrix ; discrimina-tive training ; constrained minimization approach ; support vector machines ; banking call routing ; combination strategy ; classification error ; classification accuracy ; classifier accuracy ; switchboard databases ; vector-space model ; lsi matrix ; baseline classifiers ; score separation ; classifiers ; ensemble ; classifier ; accuracy	<method> <method> <method> <method> <task> <method> <task> <metric> <metric> <material> <method> <method> <method> <metric> <method> <method> <method> <metric>	17 5 16 ; 1 0 11 ; 2 0 11 ; 2 0 7 ; 1 0 6 ; 16 4 12 ; 17 5 12 ; 3 1 0 ; 14 1 2	this paper describes the <method_2> to combine multiple <method_14> in order to improve <metric_7> . since errors of individual <method_14> in the <method_15> should somehow be uncorrelated to yield higher <metric_7> , we propose a <method_5> where the combined <metric_8> is a function of the correlation between classification errors of the individual <method_14> . to obtain powerful single <method_14> , different techniques are investigated including <method_3> and <method_0> , which is a popular <method_10> . we also investigate <method_1> of the <method_11> on <method_2> . <method_1> minimizes the <task_6> by increasing the <metric_13> of the correct from competing documents . experimental evaluation is carried out on a <task_4> and on <material_9> with a set of 23 and 67 topics respectively . results show that the combined <method_16> we propose outperforms the <metric_17> of individual <method_12> by 44 % .	2 14 7 22 27 18 -1 15 5 8 18 -1 3 0 10 26 18 -1 1 11 20 21 18 -1 6 13 23 18 -1 18 -1 4 9 19 24 25 18 -1
Signfinder : Using Color to Detect , Localize and Identify Informational Signs .	illuminant color changes ; normalizing road signs ; stereotypical boundary shapes ; viewpoint direction ; uniform color ; shadowing ; occlusion ; illuminant	<otherscientificterm> <task> <otherscientificterm> <otherscientificterm> <otherscientificterm> <otherscientificterm> <otherscientificterm> <otherscientificterm>	3 1 5 ; 5 1 6 ; 0 1 5 ; 3 1 6 ; 0 1 3	we describe an approach to detecting , locating and <task_1> . the approach will apply provided : -lrb- i -rrb- the signs have <otherscientificterm_2> -lrb- i.e. rectangular , or hexagonal -- of course , we allow for these shapes to be distorted by projection to unknown viewpoint -rrb- , -lrb- ii -rrb- the writing on the sign has one <otherscientificterm_4> and the rest of the sign has a second <otherscientificterm_4> -lrb- we allow for the color of the <otherscientificterm_7> to be unknown -rrb- . we show that the approach works even under significant <otherscientificterm_0> , <otherscientificterm_3> , <otherscientificterm_5> , and <otherscientificterm_6> . this work is part of a project intended to help people who are blind , or whose sight is impaired .	1 8 -1 2 4 7 8 -1 0 3 5 9 10 11 12 13 8 -1 6 8 -1
Joint Estimation of Motion , Structure and Geometry from Stereo Sequences .	simultaneous estimation of dense scene flow and structure ; normalisation of image and stereo constraints ; fully calibrated camera setup ; spatial and temporal information ; calibrated and uncalibrated data ; joint energy functional ; unknown stereo setup ; estimation of motion ; intrinsic camera parameters ; model assumptions ; discontinuity-preserving regularisation ; variational method ; simplified geometry ; rectified case ; stereo sequences ; accuracy	<task> <otherscientificterm> <otherscientificterm> <otherscientificterm> <material> <otherscientificterm> <otherscientificterm> <task> <otherscientificterm> <otherscientificterm> <method> <method> <otherscientificterm> <task> <material> <metric>	4 5 11 ; 11 0 0 ; 14 0 11	we present a novel <method_11> for the <task_0> from <material_14> . in contrast to existing approaches that rely on a <otherscientificterm_2> , we assume that only the <otherscientificterm_8> are known . to couple the <task_7> , structure and geometry , we propose a <otherscientificterm_5> that integrates <otherscientificterm_3> from two subsequent image pairs subject to an <otherscientificterm_6> . we further introduce a <otherscientificterm_1> such that deviations from <otherscientificterm_9> can be interpreted in a geometrical way . finally , we suggest a separate <method_10> to improve the <metric_15> . experiments on <material_4> demonstrate the excellent performance of our <method_11> . we even outperform recent techniques for the <task_13> that make explicit use of the <otherscientificterm_12> .	11 0 14 18 19 16 -1 2 8 16 -1 7 5 3 6 16 -1 1 9 16 -1 10 15 16 -1 4 17 16 -1 16 -1
Hierarchical language identification based on automatic language clustering .	hierarchical language identification framework ; ogi 10-language database ; gmm fusion system ; language identification ; single-level classification ; feature distribution ; fusion techniques ; multi-level classification ; features ; classification	<method> <material> <method> <task> <task> <otherscientificterm> <method> <method> <otherscientificterm> <task>	7 2 0 ; 1 5 0 ; 1 5 2 ; 6 0 3	due to the limitation of <task_4> , existing <method_6> experience difficulty in improving the performance of <task_3> when the number of languages and <otherscientificterm_8> are further increased . given that the similarity of <otherscientificterm_5> between different languages may vary , we propose a novel <method_0> with <method_7> . in this <method_0> , target languages are hierarchically clustered into groups according to the distance between them , models are trained both for individual languages and language groups , and <task_9> is hierarchically done in multi-levels . this <method_0> is implemented and evaluated in this paper , the results showing an relative 15.1 % error-rate improvement in 30s case on <material_1> compared to modern <method_2> .	4 6 3 8 14 10 -1 5 0 7 11 10 -1 9 10 -1 12 13 10 -1
Differentially Private M-Estimators .	real world data set ; continuous and categorical variables ; privacy preserving m-estimators ; inference procedure ; statistical utility ; convergence rates ; perturbed histograms ; differential privacy ; m-estimators	<material> <otherscientificterm> <task> <method> <otherscientificterm> <metric> <otherscientificterm> <otherscientificterm> <method>	4 2 8 ; 7 2 8 ; 6 0 2 ; 7 1 4 ; 1 2 0	this paper studies <task_2> using <otherscientificterm_6> . the proposed approach allows the release of a wide class of <method_8> with both <otherscientificterm_7> and <otherscientificterm_4> without knowing a priori the particular <method_3> . the performance of the proposed method is demonstrated through a careful study of the <metric_5> . a practical algorithm is given and applied on a <material_0> containing both <otherscientificterm_1> .	2 6 12 9 -1 8 7 4 3 10 11 13 9 -1 5 9 -1 0 1 14 9 -1
The Kneed Walker for human pose tracking .	planar biomechanical characterization of human locomo-tion ; natural human walking speeds ; kneed walker prior ; 3d kinematic model ; joint limits ; kneed walker ; foot contact ; ground collisions ; cyclic gaits ; physics-based model ; step lengths ; monocular tracking ; measurement model ; constraints ; appearance ; hills ; occlusion	<method> <otherscientificterm> <method> <method> <otherscientificterm> <method> <otherscientificterm> <task> <otherscientificterm> <method> <otherscientificterm> <task> <method> <otherscientificterm> <otherscientificterm> <otherscientificterm> <otherscientificterm>	0 0 9 ; 9 0 11 ; 5 6 9 ; 7 1 4 ; 13 0 7	the <method_5> is a <method_9> derived from a <method_0> . by controlling torques at the knees , hips and torso , the <method_9> captures a full range of walking motions with <otherscientificterm_6> and balance . <otherscientificterm_13> are used to properly handle <task_7> and <otherscientificterm_4> . a prior density over walking motions is based on dynamics that are optimized for efficient <otherscientificterm_8> over a wide range of <otherscientificterm_1> and <otherscientificterm_10> , on different slopes . the <method_9> used for <task_11> comprises the <method_2> , a <method_3> constrained to be consistent with the underlying dynamics , and a simple <method_12> in terms of <otherscientificterm_14> and optical flow . the <method_5> is applied to people walking with varying speeds , on <otherscientificterm_15> , and with <otherscientificterm_16> .	5 9 0 18 20 17 -1 6 13 17 -1 7 4 21 22 17 -1 8 1 10 17 -1 11 2 3 12 19 17 -1 14 17 -1
Preference Completion : Large-scale Collaborative Ranking from Pairwise Comparisons .	rank r score matrix ; collaborative filtering datasets ; collaborative ranking setting ; large-scale non-convex implementation ; pairwise preferences ; pairwise data ; sample complexity ; pairwise information ; convex optimization ; factored form ; ranking ; minimization	<method> <material> <otherscientificterm> <method> <otherscientificterm> <material> <metric> <otherscientificterm> <method> <method> <task> <method>	0 0 5 ; 1 0 3	in this paper we consider the <otherscientificterm_2> : a pool of users each provides a small number of <otherscientificterm_4> between d possible items ; from these we need to predict each users preferences for items they have not yet seen . we do so by fitting a <method_0> to the <material_5> , and provide two main contributions : -lrb- a -rrb- we show that an algorithm based on <method_8> provides good generalization guarantees once each user provides as few as o -lrb- r log 2 d -rrb- pairwise comparisons -- essentially matching the <metric_6> required in the related matrix completion setting -lrb- which uses actual numerical as opposed to <otherscientificterm_7> -rrb- , and -lrb- b -rrb- we develop a <method_3> , which we call <method_3> , that trains a <method_9> of the matrix via alternating <method_11> -lrb- which we show reduces to alternating svm problems -rrb- , and scales and parallelizes very well to large problem settings . it also outper-forms common baselines on many moderately large popular <material_1> in both <method_3> and in other measures of <task_10> performance .	2 4 12 -1 0 5 8 6 13 12 -1 7 3 9 11 14 12 -1
A Graph Theoretic Approach for Object Shape Representation in Compositional Hierarchies Using a Hybrid Generative-Descriptive Model .	composi-tional hierarchy of parts ; minimum description length principle ; minimum conditional entropy clustering algorithm ; fast inference of part compositions ; benchmark two-dimensional shape image datasets ; frequent subgraph discovery problem ; hierarchical compositional architecture ; object shape representation ; hybrid generative-descriptive model ; graph theoretic approach ; shape retrieval methods ; discovered substructures ; vocabulary learning ; indexing mechanisms ; computational complexity ; part shareability ; descriptive parts ; shape retrieval ; shape representation ; part compositions ; statistical relationships	<method> <method> <method> <task> <material> <task> <method> <method> <method> <method> <method> <otherscientificterm> <method> <method> <metric> <method> <otherscientificterm> <task> <method> <otherscientificterm> <otherscientificterm>	13 0 3 ; 13 0 0 ; 9 0 7 ; 17 5 10 ; 8 0 12 ; 15 1 13 ; 2 0 20 ; 0 4 10 ; 15 0 0 ; 7 0 19 ; 0 0 17 ; 0 0 3 ; 0 6 6 ; 8 0 9 ; 15 0 3	a <method_9> is proposed for <method_7> in a <method_6> called <method_0> . in the proposed <method_9> , <method_12> is performed using a <method_8> . first , <otherscientificterm_20> between parts are learned using a <method_2> . then , selection of <otherscientificterm_16> is defined as a <task_5> , and solved using a <method_1> . finally , <otherscientificterm_19> are constructed by compressing the <method_7> with <otherscientificterm_11> . <method_18> and <metric_14> properties of the proposed <method_9> and algorithms are examined using six <material_4> . experiments show that <method_0> can employ <method_15> and <method_13> for <task_3> using learned shape vocabularies . additionally , <method_0> provides better <task_17> performance than the state-of-the-art <method_10> .	9 7 6 0 24 34 21 -1 12 8 26 35 21 -1 20 2 28 21 -1 16 5 1 21 -1 19 11 18 31 21 -1 14 4 21 -1 15 13 3 22 23 27 30 33 36 21 -1 25 29 32 21 -1
Efficient and secure encryption schemes for JPEG2000 .	encrypted packet body ; secure encryption algorithm ; jpeg 2000 ; jpeg2000 syntax ; encryption tools	<otherscientificterm> <method> <material> <otherscientificterm> <method>	1 0 1	the <otherscientificterm_3> requires that any two consecutive bytes in the <otherscientificterm_0> should not be larger than 0xff8f . this stringent requirement has plagued researchers for a few years and no satisfactory solution has been proposed . in this paper , we successfully developed efficient , secure and format-compliant encryption <method_1> for <material_2> . any <method_1> -lrb- stream cipher or block cipher -rrb- can be used in our <method_1> . the new <method_1> are remarkably efficient and introduce only extremely small amount of extra computation . the new <method_1> are highly secure and it is proved that <method_1> perfectly protect 99.15 % of the information of an image . the <method_4> described in this paper have been proposed to the jpsec -lrb- <material_2> security -rrb- standardization group .	3 0 5 -1 5 -1 1 2 5 -1 6 5 -1 5 -1 5 -1 5 -1
ProNet : Learning to Propose Object-Specific Boxes for Cascaded Neural Networks .	convolutional neural networks ; multi-scale fully-convolutional network ; bounding box annotations ; classification architecture pronet ; image regions ; neural networks ; object classification ; point-based localization ; arbitrary locations ; image-level annotations	<method> <method> <otherscientificterm> <method> <otherscientificterm> <method> <task> <task> <otherscientificterm> <otherscientificterm>	5 0 3 ; 9 0 1 ; 3 0 4 ; 5 0 4 ; 3 0 7 ; 0 0 3 ; 6 1 7 ; 3 0 6	this paper aims to classify and locate objects accurately and efficiently , without using <otherscientificterm_2> . <method_3> is challenging as objects in the wild could appear at <otherscientificterm_8> and in different scales . in this paper , we propose a novel <method_3> based on <method_0> . <method_3> uses computationally efficient <method_5> to propose <otherscientificterm_4> that are likely to contain objects , and applies more powerful but slower <method_1> on the proposed regions . the basic building block is a <method_1> which assigns object confidence scores to boxes at different locations and scales . we show that such <method_1> can be trained effectively using <otherscientificterm_9> , and can be connected into cascades or trees for efficient <task_6> . <method_3> outperforms previous state-of-the-art significantly on pascal voc 2012 and ms coco datasets for <task_6> and <task_7> .	2 3 10 -1 8 10 -1 0 16 10 -1 5 4 1 11 13 14 10 -1 10 -1 12 10 -1 9 6 15 17 18 10 -1
